,sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10
27,9634094.93550332,5880457.58598614,12567030.148843,5162410.40244568,599012.496584527,5068557.57518553,829669.57104022,1816247.02276118,1389244.52027898,6708043.87398142
28,5002379.09030938,4911076.97255583,5040946.92471399,5961531.14858347,700557.157373008,6356735.71675313,1164658.82962959,2428149.48916118,1144123.48939305,5264958.02873006
29,8339963.5930207,2185361.87925196,3698077.52947441,4152819.29818944,663893.05630503,4585868.62174556,2275040.22293158,309234.136272989,3175307.51876271,1776516.42025277
30,2120357.82504104,1894803.31110518,8963702.4578803,3270471.12350341,1304395.09032577,3672519.92618042,697151.209775209,268408.158633591,952703.365595792,3192276.90236848
31,9449319.77691249,2566033.49499489,12392833.0170291,4122362.13119178,819619.018163766,5453060.81059147,938071.910525308,192739.164430572,1809053.88773943,1857914.63819319
32,3105426.6579748,1862776.49961945,6688571.30543849,5869021.6768589,497985.31753146,3731375.69182241,1491260.54074796,66835.3163330738,964921.12724719,7639673.8193929
33,7081748.05765871,1401613.41332047,5719589.26644452,4141725.36508793,526930.642566925,9049991.167464,775601.153065345,229338.102686003,3016889.7137428,10230902.0014232
34,8463885.13274424,3302411.25565767,3895837.41387753,1624398.55663922,656423.975979807,5095537.2328748,2021621.30848944,604661.715248167,1193139.16220659,1569233.03191296
35,5828432.03869751,4004117.44064117,12392213.924304,3814563.78093849,414041.230718334,10484737.53883,1102791.93171897,330977.095401912,1734347.09319042,5211851.81078236
36,14201754.0781418,4101989.86822357,7364922.25116032,8070784.8941664,381222.200316328,5428147.03328288,868662.096137379,810891.192143623,829944.408737449,7517923.71362586
37,3855197.51487723,1723513.4156844,13173445.0487322,4829086.01015995,1319332.42362391,3458346.5775311,1425664.37658941,384473.305316041,1221067.34931611,3838204.20844333
38,10950021.288738,680798.044952158,6026337.46998457,2090146.67829409,1849173.42391893,11415869.0856056,1459261.04110138,753219.391954366,1155831.06326414,9803242.85684127
39,7510927.72746083,911622.026244686,5885611.72519855,1857391.06276782,654596.714342808,7067000.80022833,611387.728166488,315725.596013007,985152.097990733,15566689.8666706
40,9195894.73841829,740984.511109528,4447707.65341754,1881674.06868974,629484.643629794,6787567.77562622,973830.069413256,571842.978317561,1495868.72755409,14076960.0293855
41,6130673.39743686,1337272.36205966,1315227.73435947,3227960.44857264,1075145.46119032,9828071.96114479,929601.700503196,649440.117560636,9233053.01874323,7847973.35404653
42,4163850.17988454,2087892.49583054,4885616.32469414,2494631.40497372,1886049.15198416,4473393.46446225,1027454.27213866,398345.146272108,2150179.60654684,6076670.44498794
43,5976905.55734036,4462096.34159007,3962377.83475218,1642677.08633421,1096937.14161338,7190843.54665532,1016548.52408115,409583.517536748,2636520.6951109,3454631.56813287
44,23754880.4067714,5392170.0050863,14188405.9713065,2012469.07394825,776025.875242752,6137233.57417485,1081511.68660881,556120.893071461,2760339.14489857,8515378.64956129
45,12259303.4648926,4274523.27900538,13806921.1068431,1490504.3507787,344811.789016757,2926368.42679837,592688.927128609,809740.091671027,2041632.95607751,2749036.16773607
46,8112378.5390931,856776.141853135,8288235.16564222,3760455.71655919,451649.78306589,4087500.67097945,1253480.46557466,821464.66777458,1023815.05469284,7240160.77802027
47,14021280.1259915,826290.229472189,7820239.00460676,1595258.26575055,1153980.72994692,4888318.56784696,587180.694355148,788548.069786606,805958.938502819,2082272.38560194
48,9770381.97905568,2343431.83550879,8310364.44339072,2021693.14526442,1043961.09841909,2152015.77428808,2046349.19002047,1338189.92626179,1750116.62203304,8688885.26062205
49,4670119.05802093,3073974.32799428,14090756.5486482,4103688.19030705,1444851.63814131,3454986.36386656,1141465.9133764,720391.113727749,2025193.10747388,6697845.82179351
50,8879522.57277074,934425.929761185,6891923.84509727,3232200.89200457,1188006.9681298,1790207.124655,1185491.40745058,1000569.46453751,1716499.87599172,6867000.36419156
51,6689862.23701693,2983792.72061595,6718683.27190469,3962422.79068023,1017271.07851183,5281002.17555064,1979610.93426293,574565.289339101,746197.759315913,8007276.64129047
52,3355682.08399308,2819663.48015644,8505661.72218111,1145488.45366009,806349.496804071,4673540.96905804,1082225.34536217,648616.833774666,743724.289998593,8104135.64148675
53,6117699.81659993,2397886.07582183,4399653.05245625,2449021.44257608,630983.347171151,3631877.09616225,2084566.42480499,1925232.43932614,2570767.7973129,10734595.5144037
54,3003025.71205047,2141637.26430285,7404463.22356209,4714120.70575196,510696.529843206,5018965.33068556,1763207.75999976,1890951.63420706,1503709.36435927,3979394.46717138
55,3601915.33080655,1101056.75848178,3517378.63365006,2537707.84253599,501132.645200847,4514270.70636831,939262.987676119,1114341.91587262,920548.058380619,5671161.10234234
56,1368851.30350312,921367.384494891,4093407.17917387,2283974.61432115,569446.927408922,5830765.54334931,1135516.05782661,692069.416685506,1656865.45968275,2997704.67082449
57,2619407.55311431,3431299.47656956,15127607.6004368,2142835.60139568,881583.854736294,1175178.54439084,912992.640848899,510589.275281409,1875678.42062494,3889510.95917403
58,1752871.3028785,2593031.53843726,6587436.23172797,4389257.86301493,989119.703213392,5917124.04470008,1499513.90280514,426985.780739677,1258148.56324532,5640079.74505475
59,2716289.84909622,1897576.69733677,10644235.170126,1271919.85924874,866596.727474657,8550827.69731446,966318.584943507,393636.965541664,2115617.9939611,3499206.1737274
60,1812745.37847708,2586605.28079366,2935617.73061697,2701589.37528256,896182.947876605,7818252.5808233,927432.416802448,434915.569354344,2125328.27261708,4153393.85505496
61,8276494.68003228,1450757.86316065,7887047.32641372,4271929.40569748,596281.815869986,4802828.22455595,1469314.8526892,537843.560412522,2356136.07673465,4220790.42144232
62,6126638.57740282,1040987.20066349,10470353.8053457,1894175.31548573,784717.717815306,3624957.0542444,592407.979639526,386559.122861616,1874107.02623561,3864817.4273036
63,4294394.1603091,1311280.39854263,4747825.42723502,10322924.5760375,1326374.14905895,5168549.43086118,528429.987423157,293483.153048635,1323024.61933528,4891345.01066353
64,12719758.4886605,2666114.30473793,8495861.6648667,3659193.25565444,1449382.87323758,3448340.9508449,795103.11184842,532165.03298408,1629050.29434145,5674052.69662704
65,2987652.68656611,534086.650569293,11014319.8973236,6311446.60800997,827885.58722561,7707609.86544535,752619.522676553,1440829.98172304,3087607.69283337,3272296.49705291
66,6367050.71671482,789507.156023196,9516708.39641728,2660706.15195403,1358904.43303513,2224421.48606441,821665.72337198,593948.78041603,2024840.1437866,5432373.73984482
67,1681331.73565525,2449989.51881842,11402310.0394673,2385580.21321998,1025786.81644902,4479277.12385685,785122.770306038,1129419.9302737,848522.108501962,6138974.95297107
68,8254087.89903852,2267140.70318138,15986233.23385,3296195.7445782,939471.425535175,2877863.30489013,639638.331979981,1018141.6124923,2739120.66951497,1497532.18583607
69,7930557.33962542,2549230.93422121,11271780.3623283,3286812.7979114,999657.926268431,4529033.09976255,524763.681820491,619529.095687948,927352.251339008,3836361.44050687
70,4730099.51663056,1159034.94030422,9378507.67957005,2360187.58596436,932014.41175419,3461138.23932669,1105091.40904101,424411.50651549,715341.542850641,4767383.55725269
71,2377908.99704726,3719467.71901691,6317119.54412665,3885507.87270839,1589717.58914171,5206215.67334119,864854.04053743,651426.806319275,1270492.7752268,5511357.68250119
72,1407153.25118306,2874737.60329488,14219279.6134697,6233730.57687574,963374.09397477,6667835.34137772,1358191.92231557,1071658.08070229,1580123.36858119,4041294.97601576
73,10737091.2066652,3309774.0391567,23218444.9290132,2419490.51263312,2147190.46891744,5813338.25349271,1096519.38380922,916243.495954057,4722985.05239155,5509090.21008275
74,2018937.07754332,2188569.99384983,23953526.6970195,3985617.52160501,1310855.69017558,5121396.4181211,1279823.84634466,694763.375872117,1698312.82454373,2528947.55966399
75,2249154.28961953,1779065.42952324,5792464.97618194,3577488.10565758,1052754.61077432,4837151.71810404,1355675.46018454,1088862.76536593,1274489.18781307,3019599.18221748
76,2972462.75340375,652525.782137974,15627415.0720032,1730015.74729492,1445389.64935694,6602246.84550327,513121.433533589,357672.285659059,3298603.17865049,7074028.57486962
77,5489589.62647938,2357947.05211096,6703903.43676655,1751199.44250427,639516.625145914,2959890.97344496,785093.436490267,564651.327218099,885996.267632189,8141027.05205501
78,5187371.77187639,4132225.42887795,15025359.859641,2554742.43568308,443448.286032659,3265694.35896429,771571.99434801,970837.544720582,1785323.33001261,4557220.45578522
79,6583534.56710843,4805327.86406637,4570114.8987143,2352574.24304197,821834.828688492,5345411.49306471,1595759.11265781,977136.008832942,1690736.14311994,5838901.01836148
80,2113542.80420882,1795000.11987527,9184029.45748789,4324349.46852041,531050.48193406,5617045.45700127,2005765.12629171,603529.165695114,1354199.93842564,4333755.52072394
81,4863101.87853601,899602.256465871,11056418.0245687,4194868.7985861,942267.093007929,3523692.40566855,1187782.77821847,380411.423575533,1028684.36831108,5527601.9106153
82,3680613.09252679,881738.172416306,9914002.19301764,2650968.23894983,636636.830976015,5233671.56496025,336824.42953077,847983.241901586,896255.637130371,2295246.09315251
83,7970705.38054782,440697.455130888,7385450.11845048,7340052.96954381,1030268.03341559,5039885.11687465,575758.158611225,611803.496261382,2380465.85738218,5620179.30591633
84,13337594.5848549,463880.814202046,6975674.35571922,2512739.9600788,739972.716248787,3826549.85042506,1011865.00878154,426766.353389941,876220.941308206,3270999.53658717
85,17023147.7955852,576637.95221478,5465066.32664219,4842385.29211083,874328.810485722,3910116.40693988,773815.464631439,603345.762407535,1174274.5356754,3552401.10324616
86,13504492.9247047,667761.01233202,5067676.56776471,3892903.66198861,1158039.19273976,2341537.18460943,1323818.78847026,334900.862831944,1730052.22521839,3011878.99688297
87,2152156.10233223,830324.033476334,7403234.77369981,6736200.56687138,214030.056287142,4157403.20454494,922928.580559724,686347.024128529,1149231.09754154,5544289.10882564
88,4561108.77441571,1104442.32216721,5932085.55544323,2287814.56100121,837126.402615518,2482065.52510659,786141.318225939,370320.046538195,1215748.33239071,4356623.4494064
89,1308866.08928723,938586.785017009,3218892.30450444,2772672.43411969,1808541.7664039,3049021.02174819,463537.620742569,633511.950285169,1066905.65724525,3781955.63563127
90,2523113.03994717,924728.145479004,4392918.25963016,2177350.00592599,1061316.69706391,2372621.10448818,823967.076759932,490594.301373817,4639861.38092236,6715441.12126171
91,6733455.4602407,1278278.7801199,5020106.0489416,3886316.65477251,955477.388149244,2636940.17203275,658535.107667153,497613.662819287,3926017.38170952,8057934.64471619
92,800861.151807693,1958251.11513612,6287973.76698552,2615953.3998416,749887.079435191,3951491.20689069,711436.382509373,738175.075784246,804658.882893709,3905244.89888877
93,977950.700044064,1248478.04002152,3140994.37493491,1540038.82462529,1152534.82810368,2296514.20345121,807568.454675927,829757.1117092,1171290.95770395,6007112.11279548
94,3688830.5801642,2970655.64535858,5211728.13605578,2088254.7406699,1802579.07308156,2738721.73055993,909084.578500393,454712.234441002,985366.252569779,4754282.56695279
95,6275550.61427945,1562122.72934,8720824.39578332,4154450.65073703,775557.369174911,3443707.93232218,686285.608447921,783582.617914162,3970044.08831153,7285003.62096003
96,4473240.43719242,2644256.04267522,14095209.4218641,3206317.15490378,1127796.23171281,4470907.01724379,864923.456716195,1135307.54025632,2067245.65762124,11406708.9048925
97,2379436.16508583,2404047.95955804,9331135.11470259,3541557.59335179,1042624.99551938,4822210.89093857,1309819.97018425,558525.242017867,1682831.91840036,4395172.08680908
98,3157559.2643072,2451092.89797121,7779859.10262948,2242145.11234219,876500.438340883,4203840.37931254,500685.447817292,825549.630896663,783868.982550794,2205516.56189352
99,12807760.1594143,4152324.13111715,7316841.0349901,2628758.3081068,571679.802033669,3491975.13620753,1355866.41994398,561077.122969877,812193.873800001,5808320.11613309
100,20921263.8798044,6222495.83166684,7496966.08679251,2039702.57476229,1005587.8666067,4566363.11762774,474226.621744738,1101839.78358063,1128173.31796896,6869824.82348986
101,709096.519410983,2523976.02348994,3711340.7110649,3281174.65153757,478956.877721842,2483648.58930519,753991.511279018,920596.82175815,1068450.58078425,3400331.69000035
102,2775526.19333087,1798302.63712181,8964294.00187771,2608850.91825026,692551.914188332,8505263.13738402,997438.411459033,388782.901620123,1452392.58237789,6459004.14300432
103,8184431.92044446,906695.486187443,7736390.21456177,3303126.60719744,466340.047478478,4003686.50104781,1030299.03555367,1013221.96631442,1312874.41788772,6124175.64404313
104,4367811.90808371,791076.784225138,18229700.7564254,2469396.92261785,821959.294970015,2991345.1137035,833347.890675953,1648656.45146345,1267965.23704646,10415476.607601
105,6565227.05507869,571682.567111945,17055596.376131,928906.940968939,625991.353432001,2852217.55931241,681906.506073181,392324.302329293,2939209.01118051,4699176.42631636
106,6969821.09042973,908498.936546564,4541449.65132425,4196312.11001767,673504.367210821,3976827.03425937,527674.82778531,810019.308613551,1337463.28263518,4511546.0899615
107,8796456.42874157,1522597.94597127,6880008.23441708,3916747.4636414,756165.129990417,3859367.38526971,1155117.6139558,725636.635298839,742908.514677866,9716891.61260039
108,13185912.498297,1118420.21987975,11018706.6436284,3148258.77942915,916549.023459607,4442960.45408832,788520.956069927,587491.899426963,1435121.00257582,8049662.40425314
109,1665649.58807979,801584.034393964,9761874.76075778,3168163.67253858,1213932.54312238,3662465.26590078,532001.921948559,595628.456404441,1554106.63340242,7168738.10916503
110,3252079.58447075,701369.709720567,3274724.85538526,3157803.84516824,709966.567869333,1452743.65363133,302148.564555631,555772.324349371,1625933.32811503,3507178.50458066
111,12455627.803614,2083714.80055595,7905776.3057194,2723215.05692803,999172.348713621,2010826.99141613,451927.368377291,920012.399611051,3502399.9900003,3073015.67088318
112,9161328.10244334,3849785.81688253,9280124.25737799,1012078.2209268,591782.529630745,2417252.48506195,378057.77158838,1083100.1071671,2177360.99564667,3329263.26414817
